"etsy_listing_id","shop_id","mensskull_internal_product_id","sku","favorites","favorite_date","cart_additions","snapshot_timestamp"
"863705906","25333110","cmraairdd00ijy4w18r4os1xp","SP166","30","UNKNOWN","UNKNOWN","2026-07-13T07:38:47.940Z"
"868314062","25333110","cmraaij9n008ey4w19btjx71a","SJ255","194","UNKNOWN","UNKNOWN","2026-07-13T07:38:47.940Z"
"872845606","25333110","cmrad2s4204o7y4ydwnm7x0ry","SP181","37","UNKNOWN","UNKNOWN","2026-07-13T07:38:47.940Z"
"876151272","25333110","cmrad2xsl04uzy4ydeuvge7h7","SJ264","27","UNKNOWN","UNKNOWN","2026-07-13T07:38:47.940Z"
"878616671","25333110","cmraaj3j900x0y4w15kubc2z8","SJ141","314","UNKNOWN","UNKNOWN","2026-07-13T07:38:47.940Z"
"879331011","25333110","cmrad2tqi04q3y4yduyejok0n","SJ255","40","UNKNOWN","UNKNOWN","2026-07-13T07:38:47.940Z"
"886505556","25333110","cmrad2sx804p4y4yd41wexy5i","SJ112","46","UNKNOWN","UNKNOWN","2026-07-13T07:38:47.940Z"
"886506640","25333110","cmrad2ovq04k9y4yd0yuigart","SJ265","21","UNKNOWN","UNKNOWN","2026-07-13T07:38:47.940Z"
"895728126","25333110","cmrad2lna04gdy4yd96gub7se","SN34","39","UNKNOWN","UNKNOWN","2026-07-13T07:38:47.940Z"
"899273951","25333110","cmrad2ray04n7y4yduljbjfqu","SJ95","32","UNKNOWN","UNKNOWN","2026-07-13T07:38:47.940Z"
"899310255","25333110","cmraakike02owy4w1x4kf59yo","SB43","116","UNKNOWN","UNKNOWN","2026-07-13T07:38:47.940Z"
"899902577","25333110","cmrad1l6m037ay4ydtd18g3xu","SP189","65","UNKNOWN","UNKNOWN","2026-07-13T07:38:47.940Z"
"899931401","25333110","cmraajcgl0183y4w126cgns3n","SJ232","77","UNKNOWN","UNKNOWN","2026-07-13T07:38:47.940Z"
"902308481","25333110","cmrad2o2704jay4ydgdpginev","SJ11","33","UNKNOWN","UNKNOWN","2026-07-13T07:38:47.940Z"
"908330623","25333110","cmrad2cqh045hy4ydk6cu9atz","SJ53","133","UNKNOWN","UNKNOWN","2026-07-13T07:38:47.940Z"
"923163811","25333110","cmrad2n9c04iby4ydeioe1zzf","SN333","73","UNKNOWN","UNKNOWN","2026-07-13T07:38:47.940Z"
"944567983","25333110","cmrad3u6v05zvy4ydhr6qjavd","SSB86","97","UNKNOWN","UNKNOWN","2026-07-13T07:38:47.940Z"
