"etsy_listing_id","mensskull_internal_product_id","sku","mapping_status","duplicate_sku_conflicts"
"863705906","cmraairdd00ijy4w18r4os1xp","SP166","MATCHED","UNKNOWN"
"868314062","cmraaij9n008ey4w19btjx71a","SJ255","DUPLICATE_SKU_CONFLICT","SJ255"
"872845606","cmrad2s4204o7y4ydwnm7x0ry","SP181","MATCHED","UNKNOWN"
"876151272","cmrad2xsl04uzy4ydeuvge7h7","SJ264","MATCHED","UNKNOWN"
"878616671","cmraaj3j900x0y4w15kubc2z8","SJ141","MATCHED","UNKNOWN"
"879331011","cmrad2tqi04q3y4yduyejok0n","SJ255","DUPLICATE_SKU_CONFLICT","SJ255"
"886505556","cmrad2sx804p4y4yd41wexy5i","SJ112","DUPLICATE_SKU_CONFLICT","SJ112"
"886506640","cmrad2ovq04k9y4yd0yuigart","SJ265","MATCHED","UNKNOWN"
"895728126","cmrad2lna04gdy4yd96gub7se","SN34","MATCHED","UNKNOWN"
"899273951","cmrad2ray04n7y4yduljbjfqu","SJ95","MATCHED","UNKNOWN"
"899310255","cmraakike02owy4w1x4kf59yo","SB43","MATCHED","UNKNOWN"
"899902577","cmrad1l6m037ay4ydtd18g3xu","SP189","DUPLICATE_SKU_CONFLICT","SP189"
"899931401","cmraajcgl0183y4w126cgns3n","SJ232","DUPLICATE_SKU_CONFLICT","SJ232"
"902308481","cmrad2o2704jay4ydgdpginev","SJ11","MATCHED","UNKNOWN"
"908330623","cmrad2cqh045hy4ydk6cu9atz","SJ53","MATCHED","UNKNOWN"
"923163811","cmrad2n9c04iby4ydeioe1zzf","SN333","MATCHED","UNKNOWN"
"944567983","cmrad3u6v05zvy4ydhr6qjavd","SSB86","DUPLICATE_SKU_CONFLICT","SSB86"
"949279802","cmraaiqkx00hay4w190e5qdi0","SJ05","MATCHED","UNKNOWN"
"953602764","cmrad308104y1y4ydyvz04xyi","SJ188","MATCHED","UNKNOWN"
"957500106","cmrad2k0e04ecy4ydcq15crxi","SJ268","MATCHED","UNKNOWN"
"970539130","cmrad2uju04r0y4yd8xfayzad","SJ161","DUPLICATE_SKU_CONFLICT","SJ161"
"994985179","cmraaix1c00pby4w1j0q0h13k","SB62","MATCHED","UNKNOWN"
"1225400518","cmrad2ktt04fby4ydwobp6e4d","SN04","MATCHED","UNKNOWN"
"1225419248","cmraaeqe1006oy4fx6dmbz6a1","SP149","MATCHED","UNKNOWN"
"1239346421","cmrad2iee04cgy4yd400sbxui","SB82","MATCHED","UNKNOWN"
"1334605855","cmrad2qhz04m9y4ydc0mbvia9","SP210","MATCHED","UNKNOWN"
"1369461324","cmraaj1wl00uyy4w1zx6f6wuo","SP199","MATCHED","UNKNOWN"
"1491847732","cmraakba002fgy4w15fnuq5w8","SJ295","MATCHED","UNKNOWN"
"1620950628","cmraaeqwp007ky4fxsnkmz6jk","SJ161","DUPLICATE_SKU_CONFLICT","SJ161"
